index,value
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,0
511,0
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,1
