index,value
0,252
1,252
2,252
3,252
4,252
5,252
6,252
7,252
8,252
9,252
10,252
11,252
12,252
13,252
14,252
15,252
16,252
17,252
18,252
19,252
20,252
21,252
22,252
23,252
24,252
25,252
26,252
27,252
28,252
29,252
30,252
31,252
32,252
33,252
34,252
35,252
36,252
37,252
38,252
39,252
40,252
41,252
42,252
43,252
44,252
45,252
46,252
47,252
48,252
49,252
50,252
51,252
52,252
53,252
54,252
55,252
56,252
57,252
58,252
59,252
60,252
61,252
62,252
63,252
64,252
65,252
66,252
67,252
68,252
69,252
70,252
71,252
72,252
73,252
74,252
75,252
76,252
77,252
78,252
79,252
80,252
81,252
82,252
83,252
84,252
85,252
86,252
87,252
88,252
89,252
90,252
91,252
92,252
93,252
94,252
95,252
96,252
97,252
98,252
99,252
100,252
101,252
102,252
103,252
104,252
105,252
106,252
107,252
108,252
109,252
110,252
111,252
112,252
113,252
114,252
115,252
116,252
117,252
118,252
119,252
120,252
121,252
122,252
123,252
124,252
125,252
126,252
127,252
128,252
129,252
130,252
131,252
132,252
133,252
134,252
135,252
136,252
137,252
138,252
139,252
140,252
141,252
142,252
143,252
144,252
145,252
146,252
147,252
148,252
149,252
150,252
151,252
152,252
153,252
154,252
155,252
156,252
157,252
158,252
159,252
160,252
161,252
162,252
163,252
164,252
165,252
166,252
167,252
168,252
169,252
170,252
171,252
172,252
173,252
174,252
175,252
176,252
177,252
178,252
179,252
180,252
181,252
182,252
183,252
184,252
185,252
186,252
187,252
188,252
189,252
190,252
191,252
192,252
193,252
194,252
195,252
196,252
197,252
198,252
199,252
200,252
201,252
202,252
203,252
204,252
205,252
206,252
207,252
208,252
209,252
210,252
211,252
212,252
213,252
214,252
215,252
216,252
217,252
218,252
219,252
220,252
221,252
222,252
223,252
224,252
225,252
226,252
227,252
228,252
229,252
230,252
231,252
232,252
233,252
234,252
235,252
236,252
237,252
238,252
239,252
240,252
241,252
242,252
243,252
244,252
245,252
246,252
247,252
248,252
249,252
250,252
251,252
252,252
253,252
254,252
255,252
256,252
257,252
258,252
259,252
260,252
261,252
262,252
263,252
264,252
265,252
266,252
267,252
268,252
269,252
270,252
271,252
272,252
273,252
274,252
275,252
276,252
277,252
278,252
279,252
280,252
281,252
282,252
283,252
284,252
285,252
286,252
287,252
288,252
289,252
290,252
291,252
292,252
293,252
294,252
295,252
296,252
297,252
298,252
299,252
300,252
301,252
302,252
303,252
304,252
305,252
306,252
307,252
308,252
309,252
310,252
311,252
312,252
313,252
314,252
315,252
316,252
317,252
318,252
319,252
320,252
321,252
322,252
323,252
324,252
325,252
326,252
327,252
328,252
329,252
330,252
331,252
332,252
333,252
334,252
335,252
336,252
337,252
338,252
339,252
340,252
341,252
342,252
343,252
344,252
345,252
346,252
347,252
348,252
349,252
350,252
351,252
352,252
353,252
354,252
355,252
356,252
357,252
358,252
359,252
360,252
361,252
362,252
363,252
364,252
365,252
366,252
367,252
368,252
369,252
370,252
371,252
372,252
373,252
374,252
375,252
376,252
377,252
378,252
379,252
380,252
381,252
382,252
383,252
384,252
385,252
386,252
387,252
388,252
389,252
390,252
391,252
392,252
393,252
394,252
395,252
396,252
397,252
398,252
399,252
400,252
401,252
402,252
403,252
404,252
405,252
406,252
407,252
408,252
409,252
410,252
411,252
412,252
413,252
414,252
415,252
416,252
417,252
418,252
419,252
420,252
421,252
422,252
423,252
424,252
425,252
426,252
427,252
428,252
429,252
430,252
431,252
432,252
433,252
434,252
435,252
436,252
437,252
438,252
439,252
440,252
441,252
442,252
443,252
444,252
445,252
446,252
447,252
448,252
449,252
450,252
451,252
452,252
453,252
454,252
455,252
456,252
457,252
458,252
459,252
460,252
461,252
462,252
463,252
464,252
465,252
466,252
467,252
468,252
469,252
470,252
471,252
472,252
473,252
474,252
475,252
476,252
477,252
478,252
479,252
480,252
481,252
482,252
483,252
484,252
